,BuyerId,SellerId,Weights
342,zzbr4.wam,kxsbq.wam,6
343,rzyrm.wam,xdtbg.wam,6
344,2sraw.wam,aptbq.wam,6
345,pmmqy.wam,54e2u.wam,6
346,d3pr4.wam,jp2b4.wam,6
347,vshrg.wam,35xb.wam,6
348,vshrg.wam,lhhqu.wam,6
349,lhhqu.wam,xdobe.wam,6
350,e43am.waa,u1ibq.wam,6
351,3cjr4.wam,y1yaw.wam,6
352,b4nrg.wam,wkjbg.wam,6
353,2hnre.wam,uhmro.wam,6
354,hsuro.wam,yzl.m.wam,6
355,mclbs.wam,f1rb4.wam,6
356,matra.wam,zvob.wam,6
357,trhbo.wam,jp2b4.wam,6
358,xu3do3utp.gm,xl3b4.wam,6
359,fgxrq.wam,jp2b4.wam,6
360,33jau.wam,e4ya2.wam,6
361,txnbm.wam,vb2r.wam,6
362,jp2b4.wam,3lubo.wam,6
363,4mrbo.wam,m1iri.wam,6
364,mv1ri.wam,hxnri.wam,6
365,hrxb.wam,mpmre.wam,6
366,krdau.wam,ny.re.wam,6
367,zm3qu.wam,1nfqw.wam,5
368,sjiau.waa,x2sbe.wam,5
369,p.tr.wam,ru1b4.wam,5
370,fdnqy.wam,b.fpq.wam,5
371,az1ay.wam,hq5b4.wam,5
372,az1ay.wam,5rnaw.wam,5
373,uzuqu.wam,ytoqw.wam,5
374,hgtlc.wam,uv3bg.wam,5
375,jrhb2.wam,j2qau.wam,5
376,2hzra.wam,kxrqy.wam,5
377,lynqk.wam,n2wqy.wam,5
378,yypb.wam,x5sr.wam,5
379,m5xl.wam,kxrqy.wam,5
380,ipw3y.wam,oh5b.wam,5
381,ierqy.wam,5e1rs.wam,5
382,susay.wam,2.pr.wam,5
383,susay.wam,dture.wam,5
384,i2eqy.wam,kxrqy.wam,5
385,tnequ.wam,uc2r4.wam,5
386,fepb4.wam,izlbg.wam,5
387,tz5qs.wam,hstra.wam,5
388,mndb4.wam,oh5b.wam,5
389,p.aag.wam,ls3bm.wam,5
390,2mtaq.wam,lv3be.wam,5
391,mcdb2.wam,xccqw.wam,5
392,mcdb2.wam,tv3b.wam,5
393,s3hau.wam,djfbo.wam,5
394,.jdau.wam,oh5b.wam,5
395,o135.wam,vcd5y.wam,5
396,o135.wam,2jraw.wam,5
397,npqqi.wam,py1li.wam,5
398,npqqi.wam,wax111222555,5
399,cuxra.wam,jp2b4.wam,5
400,wyiqy.wam,pc.be.wam,5
401,tduay.wam,wbori.wam,5
402,.eer.wam,yrsr2.wam,5
403,.eer.wam,rhbr4.wam,5
404,px1r.wam,1lqr2.wam,5
405,dzzqu.wam,vz5be.wam,5
406,dz4b2.wam,vdnre.wam,5
407,1yym2.wam,vdnre.wam,5
408,.pv3q.wam,21ubc.wam,5
409,.thb4.wam,mpnay.wam,5
410,ob.r4.wam,bk1r4.wam,5
411,xczaw.wam,snmre.wam,5
412,sl.r.wam,rv1be.wam,5
413,34aaw.wam,wabr.wam,5
414,5w1b2.wam,hhobi.wam,5
415,v3tb2.wam,dxkmc.wam,5
416,4.ur.wam,h3zrk.wam,5
417,1zpo.wam,lkrrg.wam,5
418,egzri.wam,izlbg.wam,5
419,ha4r.wam,u1ibq.wam,5
420,ul1ra.wam,pzlqu.wam,5
421,i.lr2.wam,uuybe.wam,5
422,i.lr2.wam,qnxr.wam,5
423,i.lr2.wam,vuqro.wam,5
424,sorr.wam,jhhay.wam,5
425,1qeb.wam,wjyrg.wam,5
426,3xuls.wam,u3dr2.wam,5
427,35qqy.wam,ejhbe.wam,5
428,h5zra.wam,lhhqu.wam,5
429,kxrqy.wam,hmvbc.wam,5
430,hqtbo.wam,izlbg.wam,5
431,hqtbo.wam,1.mbg.wam,5
432,nnzrg.wam,v1yqu.wam,5
